k,greedy_reloads,greedy_time_s,knapsack_reloads,knapsack_time_s
2,1857,28133.734377407887,1295,20019.234614115612
3,1857,67174.2962198365,1295,47647.77331104872
4,1857,95652.51453039139,1295,67721.08041285886
5,1857,109705.90554869596,1295,77533.19676357592
6,1857,156955.1054679171,1295,110819.86941008335
7,1857,161832.63426178967,1295,114206.17231383995
8,1857,161968.85807345904,1295,114300.64547475893
9,1857,168277.0712566965,1295,118757.69244047377
10,1857,168489.0400040625,1295,118893.79255042101
